"prev_bot","user_utterance","system_acknowledgement"
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","tired you know","Oh ok, tired I know."
"I guess you're probably still thinking. Take your time.","what is that","I do not know what is that."
"That's ok.  It's nice to talk to you.  How are you doing today?","how are you","I do not know how I am."
"Nice.  What movie did you see?","howdy","I do not know how to howdy."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to play","I see, you like to play."
"Alexa Original  I'm curious, What do you like to do for fun?","shuffle songs by fifth harmony","Oh ok, you like shuffle songs by fifth harmony."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","dance","Oh, you like dance."
"Ok. I listen to music all the time.  Whenever I am not chatting, I am listening to music.","what are you doing","I do not know what I am doing."
"i'm just doing the usual:  answering questions and learning new things all the time!  Tell me more about you!  what topic are you most interested in?","movies","I see, you like movies."
"Hi, this is an Alexa Prize Socialbot.  You sound familiar, are you age by any chance?","what's my nationality","I do not know what your nationality is."
"Uh oh ! I’m not familiar with that, Could you share more with me?","what is your favorite sports","I do not know what my favorite sports is."
"my favourite sport is probably basketball. i like the sound of the ball going through the net.","what's your favorite animal","I do not know what my favorite animal is."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","can you stop the music","I do not know if I can stop the music."
"I'd love to help with that, but as a social bot, I'm only able to chat.  Is there something else you'd like to chat about?","what's wrong","I do not know what is wrong."
"What would you like to talk about next?","i wanna say  i wanna stop the music song","Oh ok, you wanna say you wanna stop the music song."
"Hmm, that's ok, I know it is hard to decide.  Sometimes I listen to my favorite songs so much that they grow tiresome.  Do you ever listen to a song over and over again because you can't get enough of it?","why do you say","I do not know why I say."
"i didn't even think about it. i don't know, i just like it.  So, what are you interested in?","i wanna stop the music song","Oh ok, you wanna stop the music song."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","yes i'm being a bad boy","I see, you are being a bad boy."
"Oh my, that topic is too inappropriate for me to talk about.  How about we talk about something else?","what happened","I do not know what happened."
"Hmm You like to ask me challenging questions huh. I need to do more research on that.  What would you like to talk about next?","what is the take your clothes off","I do not know what is the take my clothes off."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","give purple nurples","Oh ok, you like to give purple nurples."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","repeat that to not talk to you","Oh ok, you like to repeat that to not talk to me."
"Okay.  I'm curious, What do you like to do for fun?","yeah people and sleep","Oh ok, you like people and sleep."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","what's the surprise","I do not know what the surprise is."
"I'm feeling super productive. I've set a gazillion timers, and now I'm brushing up on my Klingon.  I'm curious, What do you like to do for fun?","watch the big bang theory","I see, you like to watch the big bang theory."
"Hi, this is an Alexa Prize Socialbot.  It's really good to meet you!  Do you want to tell me your name?","what is tom","I do not know what tom is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play on the trampoline","Ok, you like to play on the trampoline."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like to be a ballerina i'm gonna be a dancer when i grow up","Oh, you are gonna be a dancer when you grow up."
